turns,victory_status,winner,white_id,white_rating,black_id,black_rating,opening_eco,opening_name
13,outoftime,white,bourgris,1500,a-00,1191,D10,Slav Defense: Exchange Variation
16,resign,black,a-00,1322,skinnerua,1261,B00,Nimzowitsch Defense: Kennedy Variation
61,mate,white,ischia,1496,a-00,1500,C20,King's Pawn Game: Leonardis Variation
61,mate,white,daniamurashov,1439,adivanov2009,1454,D02,Queen's Pawn Game: Zukertort Variation
95,mate,white,nik221107,1523,adivanov2009,1469,C41,Philidor Defense
5,draw,draw,trelynn17,1250,franklin14532,1002,B27,Sicilian Defense: Mongoose Variation
33,resign,white,capa_jr,1520,daniel_likes_chess,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense
9,resign,black,daniel_likes_chess,1413,soultego,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation
66,resign,black,ehabfanri,1439,daniel_likes_chess,1392,C50,Italian Game: Schilling-Kostic Gambit
119,mate,white,daniel_likes_chess,1381,mirco25,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation
39,mate,white,daniel_likes_chess,1381,anaissac,1272,A00,Van't Kruijs Opening
38,resign,black,daniel_likes_chess,1381,subham777,1867,C02,French Defense: Advance Variation |  Paulsen Attack
60,resign,black,daniel_likes_chess,1381,roman12342005,1936,C00,French Defense: Knight Variation
31,resign,black,daniel_likes_chess,1381,alkhan,1607,C00,French Defense #2
31,mate,white,shivangithegenius,1094,sureka_akshat,1141,C50,Four Knights Game: Italian Variation
43,resign,black,sureka_akshat,1141,shivangithegenius,1094,C57,Italian Game: Two Knights Defense |  Knight Attack
52,resign,black,shivangithegenius,1094,sureka_akshat,1141,C50,Four Knights Game: Italian Variation
66,mate,black,sureka_akshat,1141,shivangithegenius,1094,C50,Four Knights Game: Italian Variation
101,resign,black,shivangithegenius,1094,slam_ment,1300,C41,Philidor Defense #3
25,resign,white,g-ios,1500,shivangithegenius,1094,D00,Queen's Pawn Game
14,resign,black,shivangithegenius,1094,lex_v1,1676,C55,Italian Game: Anti-Fried Liver Defense
3,resign,white,shivangithegenius,1094,themannichreaction,1068,A40,Horwitz Defense
17,resign,white,storm28rus,1500,shivangithegenius,1094,B20,Sicilian Defense: Bowdler Attack
36,resign,white,robotsmoke,1307,shivangithegenius,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian
13,resign,black,shivangithegenius,1113,ivangonzalez123,1423,B21,Sicilian Defense: Smith-Morra Gambit #2
69,mate,white,shivangithegenius,1078,sureka_akshat,1219,D01,Queen's Pawn Game: Chigorin Variation
43,resign,white,gmcarlsen403,1825,shivangithegenius,1079,C45,Scotch Game: Haxo Gambit
54,mate,black,mannat1,1328,shivangithegenius,1038,D01,Queen's Pawn Game: Chigorin Variation
53,resign,black,shivangithegenius,1056,biyanivedant01,1156,D10,Slav Defense
66,mate,black,shivangithegenius,1077,chinmaysharma,1148,D06,Queen's Gambit Refused: Marshall Defense
64,resign,black,biyanivedant01,1358,shivangithegenius,1036,B21,Sicilian Defense: Smith-Morra Gambit #2
64,mate,black,rv0209,1200,shivangithegenius,1002,B52,Sicilian Defense: Canal Attack |  Main Line
54,resign,white,vihaandumir,1203,shivangithegenius,1019,B27,Sicilian Defense
21,resign,black,shivangithegenius,1019,shamlanaseer,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation
11,resign,white,medovich,1422,shivangithegenius,975,B20,Sicilian Defense: Bowdler Attack
19,resign,black,shivangithegenius,976,sorethea,1832,B06,Robatsch (Modern) Defense
28,resign,white,rico21,1569,shivangithegenius,978,D00,Blackmar-Diemer Gambit: Tartakower Variation
22,resign,black,shivangithegenius,978,jojo58,1500,A45,Indian Game
37,resign,white,jojo58,1500,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
34,resign,white,rajuppi,2449,shivangithegenius,978,A21,English Opening: King's English Variation |  Reversed Sicilian
32,draw,draw,white_queen_1990,1207,shivangithegenius,978,B70,Sicilian Defense: Dragon Variation
71,resign,black,milestretch,1241,shivangithegenius,978,B23,Sicilian Defense: Closed Variation
30,resign,white,stephen789,1500,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2
66,resign,white,rajuppi,2443,shivangithegenius,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line
41,resign,white,hmbrgr,1500,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2
49,resign,white,jjwrchess,1500,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack
3,resign,black,shivangithegenius,978,jjwrchess,1500,B01,Scandinavian Defense
7,resign,white,adnanraj,1343,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack
35,mate,white,rajuppi,2436,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
41,mate,white,rajuppi,2436,shivangithegenius,978,B01,Scandinavian Defense: Mieses-Kotroc Variation
5,resign,black,shivangithegenius,978,balkarec,1500,C00,French Defense: Normal Variation
7,resign,white,lucasimeon,1500,shivangithegenius,978,C21,King's Pawn Game: Beyer Gambit
53,mate,white,shivangithegenius,978,lucasimeon,1500,A80,Dutch Defense
36,resign,black,lucasimeon,1500,shivangithegenius,978,A20,English Opening: King's English Variation
8,resign,white,wing175,1521,gerfsh,1162,A04,Zukertort Opening: Ross Gambit
3,resign,white,caramiecho72,1407,gerfsh,1500,B23,Sicilian Defense: Closed Variation
28,resign,white,mazyaraghgmail,1492,wpc96,1458,C26,Vienna Game: Mengarini Variation
30,resign,black,anrk,1414,wpc96,1442,C41,Philidor Defense: Larsen Variation
44,resign,black,wpc96,1457,tbaruel,1294,C44,Scotch Game
29,resign,white,acahn,1525,wpc96,1466,C41,Philidor Defense: Lopez Countergambit
37,resign,black,iskendermyucel,1207,oldpaths,1579,C00,French Defense: Knight Variation
49,resign,white,oldpaths,1567,david1488,1573,A40,Modern Defense
32,resign,black,oldpaths,1578,lc777,1605,A40,Horwitz Defense
25,resign,white,jordanfury,1939,oldpaths,1581,E10,Blumenfeld Countergambit #2
